公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京路客互联网科技有限公司,路客,150-500人,A轮,番禺区,产品经理,3-5年,本科,10k-20k,"共享经济,一日三餐,创始团队,期权激励"
北京骏嘉财通科技有限公司,骏嘉财通,500-2000人,未融资,天河区,产品经理,不限,大专,5k-10k,"高薪诚聘,晋升快速,总部培训,五险一金"
广州龙腾出行网络科技股份有限公司,龙腾出行,150-500人,上市公司,越秀区,产品经理,1-3年,本科,12k-24k,"发展空间,千万级"
惠州市蓝库网络科技有限公司,蓝库,15-50人,不需要融资,番禺区,产品经理,1-3年,大专,8k-16k,"包吃包住,做五休二,期权激励,发展空间大"
氪金信息科技（天津）有限公司,Codrim,15-50人,天使轮,天河区,高级产品经理,3-5年,不限,15K-20K,"全球业务,大数据,广告营销,saas"
大鱼快乐有限公司,阿里文娱,2000人以上,上市公司,天河区,产品经理,3-5年,本科,15k-20k,"发展空间大,福利多,领导好"
广州联赢科技有限公司,联赢科技,15-50人,上市公司,番禺区,产品经理,5-10年,本科,15k-18k,"扁平管理,帅哥美女多"
广州富米科技有限公司,一手服装批发APP,150-500人,A轮,荔湾区,高级产品经理,5-10年,本科,15k-25k,"原始股激励,市场空间大,成长快"
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,产品经理/产品总监,5-10年,本科,30k-35k,五险一金、周末双休、股期权、年终奖
广州小树网络科技有限公司,小树科技,50-150人,不需要融资,天河区,产品经理,3-5年,大专,9k-13k,"季度奖金,年终奖,周末双休,下午茶"
广州麦多特投资有限公司,麦多特,15-50人,不需要融资,萝岗区,高级产品经理,3-5年,本科,18k-30k,"股权激励,14天年假,团队棒,有前景"
浙江星飞信息技术有限公司,星飞,150-500人,天使轮,天河区,​产品经理,1-3年,大专,8k-15k,"五险一金,周末双休,绩效奖金,餐补"
腾宇融资租赁（广州）有限公司,腾宇科技,50-150人,不需要融资,天河区,产品经理,1-3年,大专,8k-16k,"薪酬福利佳,地铁周边,晋升空间大,周末双休"
深圳格莱珉文化传播有限公司广州分公司,MAKA,50-150人,A轮,海珠区,高级产品经理,3-5年,本科,15k-22k,"产品好,数千万A融,年终奖励,带薪年假"
广州芦苇信息科技有限公司,芦苇科技,15-50人,不需要融资,天河区,产品经理,1-3年,本科,5k-7k,"CEO导师,弹性上班,六险,扁平化管理"
广东正品信息科技有限公司,正品集团,150-500人,未融资,天河区,高级产品经理,5-10年,不限,15k-25k,"产品10人,技术80人,电商,扫码应用"
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,产品经理,1-3年,本科,10k-20k,1亿用户交你任性，项目提成丰厚
广东芯智慧科技有限公司,保利芯智慧,50-150人,A轮,海珠区,产品经理-Saas,1-3年,本科,8k-10k,"五险一金,周末双休"
