公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,"电子商务,企业服务",助理数据分析师-高科技事业部,全职,运营/编辑/客服,运营,1-3年,本科,6k-8k,"周末双休,免费早晚餐,福利齐全,美女如云","['1', '3']",2.0,"['6', '8']",6.5
深圳世联行地产顾问股份有限公司,世联行,2000人以上,上市公司,罗湖区,企业服务,数据分析岗,全职,运营/编辑/客服,运营,不限,本科,5k-8k,公司平台大，发展前景好,[],0.0,"['5', '8']",5.75
深圳市赢众通金融信息服务有限责任公司,小赢科技,500-2000人,B轮,南山区,金融,高级数据分析师,全职,运营/编辑/客服,运营,3-5年,本科,20k-35k,五险一金、午餐补助、舒适环境、弹性工作制,"['3', '5']",4.0,"['20', '35']",23.75
深圳市金斧子网络科技有限公司,金斧子,500-2000人,C轮,南山区,"金融,移动互联网",数据分析工程师（103）,全职,开发/测试/运维类,数据开发,1-3年,本科,9k-13k,"弹性工作制,氛围轻松,年度旅游","['1', '3']",2.0,"['9', '13']",10.0
北京希为科技有限公司,希为科技,15-50人,不需要融资,福田区,"企业服务,金融",数据分析师,全职,产品/需求/项目类,数据分析,3-5年,本科,15k-25k,"技术领先,14薪,六险一金,团队优秀","['3', '5']",4.0,"['15', '25']",17.5
如斯（深圳）服饰有限公司,TOUCH,500-2000人,不需要融资,南山区,其他,数据分析员,全职,市场/商务/销售类,销售,1-3年,大专,5k-7k,"数据分析,函数,服装鞋帽,报表","['1', '3']",2.0,"['5', '7']",5.5
深圳市康哲药业有限公司,康哲药业,2000人以上,上市公司,南山区,医疗健康,数据分析师,全职,运营/编辑/客服,运营,3-5年,本科,10k-15k,弹性工作制,"['3', '5']",4.0,"['10', '15']",11.25
Oravel Stays Singapore PTE. LTD.,OYO,500-2000人,不需要融资,南山区,移动互联网,数据分析师-中心运营,全职,产品/需求/项目类,数据分析,1-3年,本科,8k-16k,"牛人多,氛围棒,福利好","['1', '3']",2.0,"['8', '16']",10.0
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,"移动互联网,电子商务",数据分析工程师,全职,开发/测试/运维类,数据开发,1-3年,本科,18k-30k,福利佳,"['1', '3']",2.0,"['18', '30']",21.0
深圳市人人聚财金融信息服务有限公司,人人聚财,2000人以上,A轮,南山区,金融,数据分析师-科技赋能部,全职,产品/需求/项目类,数据分析,1-3年,本科,10k-15k,"奖金丰富,晋升空间大,向产品发展","['1', '3']",2.0,"['10', '15']",11.25
深圳市慧择时代科技有限公司,慧择网,500-2000人,B轮,南山区,"移动互联网,电子商务",数据分析,全职,产品/需求/项目类,数据分析,1-3年,本科,8k-13k,"专业成长,精细运营","['1', '3']",2.0,"['8', '13']",9.25
众安在线财产保险股份有限公司,众安保险,2000人以上,上市公司,南山区,金融,数据分析工程师（深圳）,全职,产品/需求/项目类,数据分析,1-3年,本科,9k-16k,大平台，前景好，福利多，弹性上班,"['1', '3']",2.0,"['9', '16']",10.75
百丽电子商务（上海）有限公司,百丽新零售,500-2000人,不需要融资,南山区,"移动互联网,电子商务",数据分析师,全职,开发/测试/运维类,数据开发,3-5年,大专,12k-24k,"五险一金,定期体检,管理规范,下午茶","['3', '5']",4.0,"['12', '24']",15.0
深圳华云信息系统有限公司,华云信息,50-150人,不需要融资,南山区,"移动互联网,社交网络",数据分析,全职,开发/测试/运维类,数据开发,3-5年,大专,15k-25k,"周末双休,五险一金","['3', '5']",4.0,"['15', '25']",17.5
深圳花旦传媒有限公司,花旦传媒有限公司,50-150人,不需要融资,南山区,移动互联网,数据分析师,全职,设计,数据分析,3-5年,本科,15k-25k,美女多 福利好 弹性工作 发展空间大,"['3', '5']",4.0,"['15', '25']",17.5
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,金融,数据分析师,全职,开发/测试/运维类,数据开发,1-3年,本科,10k-20k,"福利待遇优,公司稳健,晋升宽广","['1', '3']",2.0,"['10', '20']",12.5
亿达信息技术（深圳）有限公司,YIDATEC,2000人以上,不需要融资,南山区,"移动互联网,游戏",数据分析员,全职,开发/测试/运维类,数据开发,1-3年,大专,7k-9k,"著名互联网,六险一金,年度旅游,年度体检","['1', '3']",2.0,"['7', '9']",7.5
深圳市创想一登科技有限公司,一登,15-50人,A轮,南山区,移动互联网,数据分析师,全职,产品/需求/项目类,数据分析,1-3年,本科,10k-20k,"团队年轻,福利优厚","['1', '3']",2.0,"['10', '20']",12.5
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,宝安区,"移动互联网,数据服务",高级数据分析/挖掘-faceu,全职,产品/需求/项目类,产品设计/需求分析,不限,本科,25k-40k,免费三餐，扁平管理，晋升空间，团队氛围好,[],0.0,"['25', '40']",28.75
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,"电子商务,其他",数据分析-BI,全职,产品/需求/项目类,数据分析,3-5年,本科,10k-20k,大牛,"['3', '5']",4.0,"['10', '20']",12.5
深圳马可孛罗科技有限公司,PKFARE比客,150-500人,A轮,南山区,旅游,数据分析师-VBA方向,全职,产品/需求/项目类,数据分析,1-3年,本科,8k-16k,"六险一金,周末双休,公司氛围好,海外业务","['1', '3']",2.0,"['8', '16']",10.0
深圳前海贷金所创新投资有限公司,贷金所,50-150人,未融资,罗湖区,金融,数据分析师,全职,运营/编辑/客服,运营,3-5年,本科,10k-15k,"五险一金,周末双休,过节福利,年度旅游","['3', '5']",4.0,"['10', '15']",11.25
深圳市金斧子网络科技有限公司,金斧子,500-2000人,C轮,南山区,"金融,移动互联网",数据分析工程师,全职,开发/测试/运维类,数据开发,1-3年,本科,9k-13k,"弹性工作制,氛围轻松,年度旅游","['1', '3']",2.0,"['9', '13']",10.0
北京思恩客科技有限公司,蓝色光标SNK,150-500人,不需要融资,南山区,"移动互联网,游戏",数据分析师/高级数据分析师,全职,市场/商务/销售类,市场/营销,1-3年,本科,6k-8k,平台好,"['1', '3']",2.0,"['6', '8']",6.5
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,"移动互联网,数据服务",高级数据分析师（深圳）,全职,开发/测试/运维类,数据开发,3-5年,本科,15k-25k,"D轮+,14薪+,攻城狮氛围,弹性工作","['3', '5']",4.0,"['15', '25']",17.5
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,"移动互联网,金融",数据分析师,全职,开发/测试/运维类,数据开发,3-5年,本科,10k-15k,"年终奖,双休,过节费,旅游","['3', '5']",4.0,"['10', '15']",11.25
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,金融,数据分析主管,全职,产品/需求/项目类,数据分析,3-5年,本科,15k-30k,"平台稳健,福利待遇优,团队管理","['3', '5']",4.0,"['15', '30']",18.75
深圳盈富斯科技有限公司,盈富斯,150-500人,C轮,南山区,电子商务,数据分析,全职,开发/测试/运维类,数据开发,1-3年,本科,18k-25k,"C轮融资,海归大神,下午茶","['1', '3']",2.0,"['18', '25']",19.75
武汉民投金融服务有限公司,民投金服,150-500人,不需要融资,南山区,"移动互联网,金融",数据分析师,全职,运营/编辑/客服,运营,3-5年,本科,10k-18k,"薪酬高,福利好,氛围好,前景好","['3', '5']",4.0,"['10', '18']",12.0
中腾信金融信息服务（上海）有限公司,中腾信,2000人以上,不需要融资,南山区,金融,数据分析,全职,产品/需求/项目类,数据分析,1-3年,本科,9k-15k,人才培养计,"['1', '3']",2.0,"['9', '15']",10.5
深圳前瞻资讯股份有限公司,前瞻网,150-500人,上市公司,福田区,"数据服务,移动互联网",数据分析员,全职,产品/需求/项目类,数据分析,不限,本科,4k-8k,"双休氛围好,发展空间大,薪资福利佳",[],0.0,"['4', '8']",5.0
康美中药材数据信息服务有限公司,康美数据,50-150人,上市公司,福田区,数据服务,数据分析师,全职,产品/需求/项目类,数据分析,1年以下,大专,6k-10k,"五险一金,周末双休,年底双薪,节日福利",['1'],1.0,"['6', '10']",7.0
东莞市西弗企业管理咨询有限公司,西弗,15-50人,未融资,福田区,电子商务,数据分析及建模leader,全职,金融类,风控,5-10年,本科,40k-70k,"金融公司,知名企业,真实有效,待遇从优","['5', '10']",7.5,"['40', '70']",47.5
中电科新型智慧城市研究院有限公司,中电科智慧院,150-500人,不需要融资,福田区,"数据服务,生活服务",数据分析工程师,全职,开发/测试/运维类,数据开发,3-5年,本科,15k-20k,"国企,智慧城市,周末双休,薪资福利好","['3', '5']",4.0,"['15', '20']",16.25
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,福田区,"移动互联网,金融",数据分析,全职,产品/需求/项目类,数据分析,3-5年,大专,10k-20k,"旅游,年终奖,过节费,环境好","['3', '5']",4.0,"['10', '20']",12.5
深圳市客路网络科技有限公司,KLOOK 客路旅行,500-2000人,C轮,福田区,"移动互联网,旅游",数据分析,全职,技术,后端开发,1-3年,本科,10k-20k,国际化平台+飞速发展+技术大牛+丰厚薪资,"['1', '3']",2.0,"['10', '20']",12.5
深圳钻邦客网络科技有限公司,钻石邦客,50-150人,未融资,罗湖区,"移动互联网,数据服务",数据分析师,全职,开发/测试/运维类,数据开发,3-5年,本科,16k-25k,"周末双休,五险一金,年度旅游,节日礼品","['3', '5']",4.0,"['16', '25']",18.25
深圳数位传媒科技有限公司,数位科技,50-150人,B轮,南山区,"移动互联网,数据服务",数据分析师,全职,开发/测试/运维类,数据开发,5-10年,本科,20k-30k,"14薪起,股票期权,大牛团队,技术氛围好","['5', '10']",7.5,"['20', '30']",22.5
