公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
广州虎将网络科技有限公司,新工厂,少于15人,不需要融资,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,4k-8k,成长空间大,"['1', '3']",2.0,"['4', '8']",5.0
广州久邦世纪科技有限公司,久邦GOMO,500-2000人,上市公司,越秀区,移动互联网,高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-30k,"弹性上班,交通便利,团队奖金,扁平管理","['3', '5']",4.0,"['15', '30']",18.75
广州市巴图鲁信息科技有限公司,巴图鲁公司,150-500人,C轮,海珠区,电子商务,产品经理,全职,产品,产品经理,1-3年,本科,8k-15k,弹性制、双休制、扁平化、oh思维活跃~,"['1', '3']",2.0,"['8', '15']",9.75
广州昊誉信息科技有限公司,昊誉,50-150人,不需要融资,天河区,"移动互联网,教育",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"平台大,福利齐全,假期多,待遇好","['3', '5']",4.0,"['10', '15']",11.25
广州多融信息科技有限公司,广州多融信息科技有限公司,15-50人,未融资,天河区,金融,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,8k-15k,"五险一金,下午茶,包午餐,年终奖","['1', '3']",2.0,"['8', '15']",9.75
深圳市心迹教育科技有限责任公司,心迹教育~,15-50人,天使轮,番禺区,"O2O,教育",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-12k,"五险一金,周末双休,交通便利,扁平化管理","['1', '3']",2.0,"['10', '12']",10.5
广州探迹科技有限公司,探迹,50-150人,B轮,番禺区,"数据服务,企业服务",产品经理（C端）,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,"大数据AI,扁平管理,五险一金,期权激励","['1', '3']",2.0,"['10', '20']",12.5
广东曼拓信息科技有限公司,广东曼拓信息科技有限公司,50-150人,上市公司,天河区,"广告营销,移动互联网",DSP产品经理/高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-25k,"定期体检,六险一金,年度旅游,良好的氛围","['5', '10']",7.5,"['15', '25']",17.5
广东省善易交互设计研究院,IXDC,15-50人,天使轮,天河区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"设计教育,接触大咖,办公环境好","['3', '5']",4.0,"['10', '15']",11.25
广州勇往科技有限公司,勇往科技,50-150人,A轮,越秀区,"移动互联网,O2O",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-16k,"周末双休,五险一金,带薪年假,股权期权","['3', '5']",4.0,"['8', '16']",10.0
广州奕报告信息科技有限公司,奕报告,50-150人,不需要融资,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,不限,本科,6k-12k,"平台好,行业潜力大,团队氛围好,办公环境好",[],0.0,"['6', '12']",7.5
深圳市对庄科技有限公司,对庄科技,15-50人,A轮,荔湾区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,大专,10K-18K,工作稳定，高成长空间，靠谱产品，靠谱团队,"['3', '5']",4.0,"['10', '18']",12.0
广州鑫燕网络科技有限公司,鑫燕网络,150-500人,B轮,海珠区,"电子商务,O2O",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-15k,"五险一金,双休,职业规划,年底奖金","['3', '5']",4.0,"['8', '15']",9.75
广州宸瑞软件科技有限公司,广州宸瑞,50-150人,天使轮,海珠区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,15k-20k,"周末双休,六险一金,绩效奖金,话补餐补","['1', '3']",2.0,"['15', '20']",16.25
广州市盈泽信息科技有限公司,盈泽信息科技有限公司,50-150人,未融资,天河区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,项目管理,3-5年,本科,7k-14k,"周末双休,带薪年假,绩效奖金","['3', '5']",4.0,"['7', '14']",8.75
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,电子商务,高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,20k-30k,"大型电商,海量数据","['3', '5']",4.0,"['20', '30']",22.5
